Course Number: 435, Professor: SARIN V, GPA: 3.344, A's: 19, B's: 6, C's: 6, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.368, A's: 32, B's: 16, C's: 7, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.630, A's: 21, B's: 4, C's: 0, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.478, A's: 15, B's: 4, C's: 4, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.294, A's: 14, B's: 16, C's: 4, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 435, Professor: DAVIS T, GPA: 2.863, A's: 19, B's: 17, C's: 8, D's: 3, E's: 4, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 2.842, A's: 10, B's: 16, C's: 9, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 435, Professor: DAVIS T, GPA: 3.026, A's: 16, B's: 13, C's: 5, D's: 5, E's: 0, F's: 1, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.310, A's: 23, B's: 14, C's: 2, D's: 1, E's: 2, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 3.138, A's: 20, B's: 30, C's: 5, D's: 2, E's: 1, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 2.833, A's: 9, B's: 40, C's: 5, D's: 4, E's: 2, F's: 0, Q's: 0
Course Number: 435, Professor: SARIN V, GPA: 2.759, A's: 8, B's: 30, C's: 13, D's: 1, E's: 2, F's: 1, Q's: 0
Course Number: 436, Professor: KIM J (H), GPA: 3.900, A's: 28, B's: 1, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 436, Professor: MOORE J, GPA: 3.875, A's: 80, B's: 5, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 436, Professor: MOORE J (H), GPA: 4.000, A's: 11, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 436, Professor: KIM J, GPA: 3.869, A's: 73, B's: 11, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 436, Professor: KIM J (H), GPA: 4.000, A's: 16, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 436, Professor: MOORE J, GPA: 3.813, A's: 78, B's: 18, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
